"id","from","from_ip","server","server_dist","server_ping","download","upload","start","stop"
7,"Comcast Cable","[REDACT]","FDC Servers (Chicago, IL)","22.46 km","30.683 ms","44.32 Mbit/s","2.13 Mbit/s","2016-04-24 21:36:37","2016-04-24 21:37:17"
8,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","24.953 ms","42.40 Mbit/s","3.14 Mbit/s","2016-04-24 21:45:01","2016-04-24 21:45:53"
9,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","29.874 ms","42.49 Mbit/s","3.54 Mbit/s","2016-04-24 21:50:01","2016-04-24 21:50:37"
10,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","31.233 ms","27.27 Mbit/s","2.08 Mbit/s","2016-04-24 21:54:01","2016-04-24 21:54:50"
11,"Comcast Cable","[REDACT]","SilverIP Communications (Chicago, IL)","22.46 km","36.43 ms","24.88 Mbit/s","3.47 Mbit/s","2016-04-24 21:57:01","2016-04-24 21:57:45"
12,"Comcast Cable","[REDACT]","tzulo, inc (Chicago, IL)","22.46 km","31.887 ms","52.97 Mbit/s","4.22 Mbit/s","2016-04-24 22:00:01","2016-04-24 22:00:44"
13,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","30.331 ms","4.13 Mbit/s","5.61 Mbit/s","2016-04-24 22:03:01","2016-04-24 22:03:37"
14,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","28.268 ms","49.01 Mbit/s","3.07 Mbit/s","2016-04-24 22:06:01","2016-04-24 22:06:43"
15,"Comcast Cable","[REDACT]","SilverIP Communications (Chicago, IL)","22.46 km","35.312 ms","61.45 Mbit/s","3.61 Mbit/s","2016-04-24 22:09:01","2016-04-24 22:09:59"
16,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","25.733 ms","60.17 Mbit/s","4.12 Mbit/s","2016-04-24 22:12:01","2016-04-24 22:12:44"
17,"Comcast Cable","[REDACT]","SilverIP Communications (Chicago, IL)","22.46 km","27.141 ms","18.08 Mbit/s","2.23 Mbit/s","2016-04-24 22:15:01","2016-04-24 22:15:59"
18,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","29.551 ms","21.42 Mbit/s","2.84 Mbit/s","2016-04-24 22:18:02","2016-04-24 22:19:09"
19,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","29.174 ms","3.66 Mbit/s","2.40 Mbit/s","2016-04-24 22:21:01","2016-04-24 22:21:38"
20,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","26.101 ms","36.20 Mbit/s","3.05 Mbit/s","2016-04-24 22:24:01","2016-04-24 22:24:36"
21,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","27.061 ms","14.60 Mbit/s","1.71 Mbit/s","2016-04-24 22:27:01","2016-04-24 22:28:06"
22,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","28.088 ms","43.53 Mbit/s","2.98 Mbit/s","2016-04-24 22:30:01","2016-04-24 22:30:37"
23,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","26.189 ms","11.67 Mbit/s","3.14 Mbit/s","2016-04-24 22:33:01","2016-04-24 22:33:39"
24,"Comcast Cable","[REDACT]","tzulo, inc (Chicago, IL)","22.46 km","30.304 ms","72.39 Mbit/s","3.93 Mbit/s","2016-04-24 22:36:02","2016-04-24 22:36:47"
25,"Comcast Cable","[REDACT]","tzulo, inc (Chicago, IL)","22.46 km","27.717 ms","44.89 Mbit/s","3.55 Mbit/s","2016-04-24 22:39:02","2016-04-24 22:40:02"
26,"Comcast Cable","[REDACT]","tzulo, inc (Chicago, IL)","22.46 km","29.441 ms","18.44 Mbit/s","2.17 Mbit/s","2016-04-24 22:42:01","2016-04-24 22:43:01"
27,"Comcast Cable","[REDACT]","FDC Servers (Chicago, IL)","22.46 km","30.002 ms","42.49 Mbit/s","2.08 Mbit/s","2016-04-24 22:45:02","2016-04-24 22:45:37"
28,"Comcast Cable","[REDACT]","AT&T (Cicero, IL)","19.07 km","29.399 ms","21.57 Mbit/s","2.74 Mbit/s","2016-04-24 22:48:01","2016-04-24 22:48:32"
29,"Comcast Cable","[REDACT]","Comcast (Chicago, IL)","22.46 km","25.168 ms","11.18 Mbit/s","1.01 Mbit/s","2016-04-24 22:51:01","2016-04-24 22:51:44"
30,"Comcast Cable","[REDACT]","tzulo, inc (Chicago, IL)","22.46 km","24.593 ms","12.84 Mbit/s","4.74 Mbit/s","2016-04-24 22:54:01","2016-04-24 22:54:36"
